episode,phase,total_reward,steps,success,collision,timeout,epsilon,avg_loss,avg_q,global_train_steps
242,0,9.60037,135,1,0,0,0.481863,0.010323,6.2448,78519
243,0,9.64846,119,1,0,0,0.480417,0.010836,6.27157,78639
244,0,9.68204,108,1,0,0,0.478976,0.011082,6.27657,78748
245,0,9.63388,124,1,0,0,0.477539,0.012083,6.26799,78873
246,0,9.62485,127,1,0,0,0.476106,0.009618,6.31343,79001
247,0,9.59492,137,1,0,0,0.474678,0.011119,6.31541,79139
248,0,9.60081,135,1,0,0,0.473254,0.010353,6.33194,79275
249,0,9.59994,136,1,0,0,0.471834,0.00665,6.34553,79412
250,0,9.59464,137,1,0,0,0.470419,0.009591,6.35977,79550
251,0,9.6615,115,1,0,0,0.469008,0.013378,6.37977,79666
252,0,-1.2,400,0,0,1,0.467601,0.01189,6.43962,80066
253,0,9.64596,120,1,0,0,0.466198,0.012688,6.50351,80187
254,0,-1.2,400,0,0,1,0.464799,0.012697,6.56373,80587
255,0,9.67308,111,1,0,0,0.463405,0.017653,6.59017,80699
256,0,9.62434,127,1,0,0,0.462015,0.014179,6.64115,80827
257,0,9.69054,105,1,0,0,0.460629,0.014873,6.66756,80933
258,0,-1.2,400,0,0,1,0.459247,0.01167,6.71596,81333
259,0,-1.2,400,0,0,1,0.457869,0.012208,6.83181,81733
260,0,-1.19617,400,0,0,1,0.456495,0.010486,6.95434,82133
261,0,-1.19693,400,0,0,1,0.455126,0.012238,7.04603,82533
262,0,9.25261,251,1,0,0,0.45376,0.016428,7.15201,82785
263,0,9.06125,315,1,0,0,0.452399,0.012903,7.20151,83101
264,0,-1.19942,400,0,0,1,0.451042,0.013562,7.29001,83501
265,0,9.1448,288,1,0,0,0.449689,0.016734,7.35238,83790
266,0,-1.19887,400,0,0,1,0.44834,0.014792,7.45503,84190
267,0,9.18269,275,1,0,0,0.446995,0.015825,7.54637,84466
268,0,-1.19167,400,0,0,1,0.445654,0.011175,7.62835,84866
269,0,-1.2,400,0,0,1,0.444317,0.013433,7.72948,85266
270,0,-1.2,400,0,0,1,0.442984,0.011619,7.79983,85666
271,0,-1.19829,400,0,0,1,0.441655,0.013601,7.89447,86066
272,0,-1.2,400,0,0,1,0.44033,0.013817,8.00401,86466
273,0,-1.2,400,0,0,1,0.439009,0.017209,8.09763,86866
274,0,-1.2,400,0,0,1,0.437692,0.014945,8.17429,87266
275,0,-1.2,400,0,0,1,0.436379,0.014561,8.24664,87666
276,0,-1.2,400,0,0,1,0.43507,0.016274,8.34051,88066
277,0,-1.2,400,0,0,1,0.433765,0.010936,8.41362,88466
278,0,-1.2,400,0,0,1,0.432463,0.013022,8.49459,88866
279,0,-1.2,400,0,0,1,0.431166,0.015475,8.56131,89266
280,0,-1.2,400,0,0,1,0.429872,0.014891,8.63221,89666
281,0,-1.2,400,0,0,1,0.428583,0.013578,8.70995,90066
282,0,-1.2,400,0,0,1,0.427297,0.01303,8.72129,90466
