episode,phase,total_reward,steps,success,collision,timeout,epsilon,avg_loss,avg_q,global_train_steps
349,0,9.77468,77,1,0,0,0.349386,0.013312,6.0968,104023
350,0,9.77762,76,1,0,0,0.348338,0.012681,6.09269,104100
351,0,9.75963,82,1,0,0,0.347293,0.010076,6.10418,104183
352,0,9.79028,72,1,0,0,0.346251,0.004765,6.12421,104256
353,0,9.77463,77,1,0,0,0.345212,0.012329,6.1207,104334
354,0,9.75048,85,1,0,0,0.344176,0.016273,6.12922,104420
355,0,9.67294,111,1,0,0,0.343144,0.014382,6.14001,104532
356,0,9.76009,82,1,0,0,0.342115,0.011882,6.1718,104615
357,0,9.73895,89,1,0,0,0.341088,0.012366,6.17084,104705
358,0,9.72394,94,1,0,0,0.340065,0.010742,6.17276,104800
359,0,9.75683,83,1,0,0,0.339045,0.011975,6.14594,104884
360,0,9.71799,96,1,0,0,0.338028,0.012524,6.2087,104981
361,0,9.76321,81,1,0,0,0.337014,0.009672,6.21052,105063
362,0,9.75197,85,1,0,0,0.336002,0.010657,6.20366,105149
363,0,9.72708,93,1,0,0,0.334994,0.007305,6.22075,105243
364,0,9.72686,93,1,0,0,0.333989,0.020501,6.26109,105337
365,0,9.78379,74,1,0,0,0.332988,0.01402,6.23298,105412
366,0,9.77815,76,1,0,0,0.331989,0.016651,6.24842,105489
367,0,9.79893,69,1,0,0,0.330993,0.01427,6.24431,105559
368,0,9.75424,84,1,0,0,0.33,0.011505,6.25592,105644
369,0,9.77538,77,1,0,0,0.32901,0.012385,6.26455,105722
370,0,9.75374,84,1,0,0,0.328023,0.009085,6.28603,105807
371,0,9.75426,84,1,0,0,0.327039,0.011031,6.27148,105892
372,0,9.78082,75,1,0,0,0.326057,0.009042,6.31402,105968
373,0,9.78666,73,1,0,0,0.325079,0.00833,6.32888,106042
374,0,9.79853,69,1,0,0,0.324104,0.007011,6.36419,106112
375,0,9.79299,71,1,0,0,0.323132,0.009851,6.34059,106184
376,0,9.757,83,1,0,0,0.322162,0.010107,6.32903,106268
377,0,9.78057,75,1,0,0,0.321196,0.010134,6.3227,106344
378,0,9.72687,93,1,0,0,0.320232,0.009823,6.35471,106438
379,0,9.74249,88,1,0,0,0.319272,0.006848,6.34841,106527
380,0,9.77485,77,1,0,0,0.318314,0.009393,6.35825,106605
381,0,9.79317,71,1,0,0,0.317359,0.007976,6.36878,106677
382,0,9.7543,84,1,0,0,0.316407,0.013344,6.39584,106762
383,0,9.82027,62,1,0,0,0.315457,0.012044,6.39059,106825
384,0,9.78121,75,1,0,0,0.314511,0.012682,6.44159,106901
385,0,9.7536,84,1,0,0,0.313568,0.009707,6.41922,106986
386,0,9.76035,82,1,0,0,0.312627,0.00909,6.41201,107069
387,0,9.77833,76,1,0,0,0.311689,0.009626,6.44478,107146
388,0,9.79527,70,1,0,0,0.310754,0.009745,6.46866,107217
389,0,9.79547,70,1,0,0,0.309822,0.014252,6.4406,107288
390,0,9.76032,82,1,0,0,0.308892,0.011249,6.45969,107371
391,0,9.79252,71,1,0,0,0.307965,0.0099,6.47023,107443
392,0,9.80188,68,1,0,0,0.307042,0.00932,6.44277,107512
393,0,9.75686,83,1,0,0,0.30612,0.006605,6.47075,107596
394,0,9.7686,79,1,0,0,0.305202,0.009101,6.51633,107676
